TopoID;Note;TRAP;Source;Type;LU_Around;LU_Top;Date;DiameterMax;HeightMax;Condition;PrincipalSourceOfImpact;AllNotes;distTown;distTownBoundary;elevAster;slopeAster;aspectAster;TRI;TPI;rough;prom250mbuff;TypeCertainty;distBG;AKB;Area;SeasonNotes;Excavated;latitude;longitude
0;Mound;6000;Survey;Burial Mound;Annual agriculture;Scrub;2009-10-12;30;2,5;1;Post-depositional;NA;1682,3219101725194 [m];1682,3219101725194 [m];163,762756347656;5,11591718407462e+00;290,507092167406483;1,6803684234619141;8,02822113037109e-02;5,793380737304688;89,82;Certain;34238,4650763915 [m];NA;NA;NA;NA;42,2882799388422;26,6223473827177
0;Mound;6001;Survey;Burial Mound;Annual agriculture;Annual agriculture;2009-10-12;15;0,5;1;Agriculture;NA;1578,1138825671806 [m];1578,1138825671806 [m];162,876159667969;1,43523013155519e+00;7,856442455484256;0,6095695495605469;-4,57420349121094e-02;1,877578735351562;55,43;Certain;34336,4458229579 [m];NA;NA;NA;NA;42,2891643901758;26,6231130690390
200587;recorded in 2009;6002;Survey;Burial Mound;Scrub;Scrub;2009-10-12;48;3,5;2;Post-depositional;NA;1531,3620001026213 [m];1531,3620001026213 [m];162,382369995117;1,34304353449609e+00;6,360918760495308;0,6422824859619141;3,04079055786133e-01;1,879531860351562;38,18;Certain;34382,9839549099 [m];NA;NA;NA;NA;42,2895836192563;26,6231659026162
200621;registed in 2009, topo point adjusted;6003;Survey;Burial Mound;Scrub;Scrub;2009-10-13;63;6,0;1;Post-depositional;NA;1327,0231273651445 [m];1327,0231273651445 [m];162,794754028320;5,10501506701899e+00;340,933552563495823;2,1310901641845703;7,16342926025391e-02;6,665893554687500;51,61;Certain;34583,5883915571 [m];NA;NA;NA;NA;42,2913815722912;26,6274986484953
0;Mound;6004;Survey;Burial Mound;Forest;Forest;2009-10-13;12;0,5;5;Looting;NA;2282,1340701874692 [m];2282,1340701874692 [m];154,981567382812;5,11488209874047e+00;254,016557604484035;1,6689701080322266;5,71355819702148e-01;5,192581176757812;82,01;Certain;33886,3315580485 [m];NA;NA;NA;NA;42,2849810643638;26,6122067189663
200588;recorded in 2009;6005;Survey;Burial Mound;Forest;Forest;2009-10-13;35;2,0;3;Looting;NA;2203,4923230999170 [m];2203,4923230999170 [m];155,492370605469;5,22704381110947e+00;4,315285839583112;2,1603412628173828;4,63155746459961e-01;5,875320434570312;32,85;Certain;33934,4543163443 [m];NA;NA;NA;NA;42,2854347186071;26,6131679029860
200589;Recorded in 2009;6006;Survey;Burial Mound;Forest;Forest;2009-10-13;45;1,5;2;Looting;NA;2274,6440921769040 [m];2274,6440921769040 [m];155,575637817383;3,59010726843410e+00;240,832430249561867;1,1770896911621094;2,56340026855469e-01;4,295196533203125;68,95;Certain;33875,9954621042 [m];NA;NA;NA;NA;42,2848978313543;26,6126697754543
200618;recorded in 2009;6009;Survey;Burial Mound;Scrub;Scrub;2009-10-20;22;1,5;3;Post-depositional | Looting;NA;2112,8003481615046 [m];2112,8003481615046 [m];202,536804199219;6,39258305460292e+00;31,070926198262494;2,6349697113037109;5,88514328002930e-01;7,738449096679688;66,42;Certain;33459,3343480542 [m];NA;NA;NA;NA;42,2811593920254;26,6349728455471
200593;NA;6010;Survey;Burial Mound;Annual agriculture;Annual agriculture;2009-10-26;13;0,5;5;Agriculture;NA;1799,4779592491197 [m];1799,4779592491197 [m];124,455894470215;2,70684827020850e+00;107,607343382481730;0,9269800186157227;-2,34185218811035e-01;2,745018005371094;30,29;Certain;32045,5681212360 [m];NA;NA;NA;NA;42,2679526647410;26,5996157308098
200594;recorded in 2009;6012;Survey;Extinct Burial Mound;Annual agriculture;Annual agriculture;2009-10-27;28;0,5;5;Agriculture;levelled with field;912,7632976058699 [m];912,7632976058699 [m];168,228668212891;1,01227859647292e+00;229,098776353256540;0,3745479583740234;-1,81198120117188e-04;1,471450805664062;41,82;Certain;32256,5867701233 [m];NA;NA;NA;NA;42,2703945670102;26,6177715514052
0;Mound;6013;Survey;Burial Mound;Annual agriculture;Annual agriculture;2009-10-28;8;1,0;1;Agriculture;NA;1012,1364618147192 [m];1012,1364618147192 [m];143,256652832031;2,44015005210142e+00;203,122818294722890;1,0627117156982422;6,16075515747070e-01;3,003128051757812;75,18;Certain;30298,8000990671 [m];NA;NA;NA;NA;42,2525571581146;26,6086812766329
200659;recorded in 2009;6015;Survey;Burial Mound;Annual agriculture;Annual agriculture;2009-11-02;65;2,0;4;Agriculture;all ploughed over;1713,7572303581369 [m];1713,7572303581369 [m];205,457351684570;2,57735918522206e+00;123,159712131116621;0,8148536682128906;1,73377990722656e-01;2,992584228515625;15,41;Certain;35142,9681642644 [m];NA;NA;NA;NA;42,3001208312587;26,7035733484927
200656;recorded in 2009;6016;Survey;Burial Mound;Annual agriculture;Annual agriculture;2009-11-02;57;1,5;4;Agriculture;little tuft of grass and large stones on top;1693,2274065478259 [m];1693,2274065478259 [m];212,000000000000;1,42569887605513e+00;211,249467768486454;0,6524143218994141;6,40783309936523e-01;1,953872680664062;35,97;Certain;35439,3333119565 [m];NA;NA;NA;NA;42,3031393175486;26,7055340705286
200696;recorded in 2009;6017;Survey;Burial Mound;Annual agriculture;Annual agriculture;2009-11-02;67;5,0;4;Agriculture;"road goes partially over the mound; see Overview_W";1565,5419279374491 [m];1565,5419279374491 [m];210,474655151367;2,50370347577266e+00;107,218498438523866;0,8119907379150391;-5,79090118408203e-02;3,013809204101562;74,18;Certain;35661,7127110827 [m];NA;NA;NA;NA;42,3055721863056;26,7082375137038
200592;Registed in 2009 season;6019;Survey;Burial Mound;Annual agriculture;Scrub;2009-11-05;77;10,0;2;Post-depositional;NA;2249,3797140754878 [m];2249,3797140754878 [m];130,772232055664;5,23998151432516e+00;292,266266925430216;1,7274274826049805;-2,22569465637207e-01;6,121543884277344;45,68;Certain;33302,0372140459 [m];NA;NA;NA;NA;42,2794681801384;26,6038905012872
0;Mound;6020;Survey;Extinct Burial Mound;Annual agriculture;Annual agriculture;2009-11-05;30;0,5;5;Agriculture;NA;2162,7776462089769 [m];2162,7776462089769 [m];131,781509399414;4,38645452252266e+00;356,016097063209202;1,8448390960693359;6,66402816772461e-01;5,383605957031250;25,27;Certain;33157,5393082845 [m];NA;NA;NA;NA;42,2781362326448;26,6031382575003
200698;recorded in 2009;6022;Survey;Burial Mound;Annual agriculture;Annual agriculture;2009-11-06;38;2,0;5;Agriculture;20200505> GPS position seems offset 50m to E with respect to visible feature in satellite image (GPS must have been off! or we are trying to attach the point to the TopoID, which has map error). The mound is likely between 7016 and 7018 on a diagonal, where RTs are visible in the ground;1583,6482027230566 [m];1583,6482027230566 [m];212,879470825195;1,37681208636388e+00;308,544162019017961;0,5240001678466797;1,57037734985352e-01;1,616836547851562;85,30;Certain;36041,7383322397 [m];NA;NA;NA;NA;42,3138638022994;26,7194861679578
0;Mound;6023;Survey;Extinct Burial Mound;Annual agriculture;Scrub;2009-11-07;17;0,5;5;Looting | Agriculture;20200505 > added CRM on basis of photo;1528,3840973970828 [m];1528,3840973970828 [m];191,467620849609;1,24494148261792e+00;271,152113267772336;0,3788566589355469;-3,23944091796875e-02;1,019729614257812;65,34;Certain;34719,0371765682 [m];NA;NA;NA;NA;42,2941041911333;26,6908936508644
0;Mound;6024;Survey;Extinct Burial Mound;Annual agriculture;Annual agriculture;2009-11-07;20;0,3;5;Agriculture;20200505 > added CRM on basis of photo;1539,6208658257683 [m];1539,6208658257683 [m];194,469726562500;1,51476449193783e+00;148,820632220860233;0,6311702728271484;2,40468978881836e-01;2,008468627929688;88,09;Certain;34631,4412449327 [m];NA;NA;NA;NA;42,2935932973879;26,6925831775189
